<Hotel Name> Hardees
<Hotel Address>
<Overall Rating> 2.5
<Avg. Price>
<URL>
<Image URL>

<Review ID> 2623
<Author> Nelson M.
<Author Location> Gibson City, IL
<Title> title
<Content> Their chicken tenders are off the hook . I only drive through and I've found the service to be consistently good.
<Date> 2014-09-07
<Overall> 5.0
<environment> 5
<taste> 5
<price> 5

<Review ID> 2624
<Author> Lisa B.
<Author Location> Chicago, IL
<Title> title
<Content> Restaurant reviewI came and tried to enjoy a meal here for the first time, but was I shocked to find out that all the other reviews were spot on. At dinner there was no one dining in which should have raised a red flag. It was effortless to order because there was no line. From my vantage point I question the cleanliness of this restaurant. There was a large mosquito flying around the lights in the kitchen, the sun room appeared to be flooded with a sign saying closed and a large puddle of water on the floor. This made me nervous with how dirty the restaurant was... Overall the booth's were simply sticky. The food itself wasn't bad, the mushroom and swiss burger was a bit on the salty side. The fries were fresh though. Overall this was my first and last experience with Hardee's. Thank you.Pro: angus thick burger, a step above McD but still not restaurant qualityCons: dirty store (bugs, a room that was flooded...)Hidden gem:1. Coupons in mail for BOGO2. Sign up online for coupon i.e.e free drink/fries with thickburger purchase3. Download the app to earn points toward free food
<Date> 2014-08-15
<Overall> 1.0
<environment> 1
<taste> 1
<price> 1

<Review ID> 2625
<Author> Jonna N.
<Author Location> Champaign, IL
<Title> title
<Content> I just went through the drive through and ordered a hot ham and cheese and a side salad. I asked for ranch dressing. The drive through wait was longer than I had expected but not the worst. I get to the window and I pay for my order and I hear the lady at the window specifically ask the person who handed her the bag if there was ranch dressing in it and a fork and the person told her yes. She said she was just checking to be sure they were there. I get back to the office and yes there is a plastic fork but no, there is NOT any dressing. Clearly the person lied about putting it in the bag. Sadly, that makes my review even worse because now I am eating a salad with no dressing and quite frankly I don't think it's very good this way!!Aside from not having any dressing the salad itself is warm. I prefer a crisp cold salad like most people. However, the ring of onion on it is very hot. Whew!! The hot ham and cheese is the same old hot ham and cheese they have been serving for years and I still like it.
<Date> 2012-05-01
<Overall> 1.0
<environment> 1
<taste> 1
<price> 1

<Review ID> 2626
<Author> Jenna M.
<Author Location> Chicago, IL
<Title> title
<Content> I wish there was actually a Hardee's in the Chicago city limits, but I survive because of the many other Chicago eateries. Hardee's is one of the places I go to when I head down south from Chicago. The meals are big, but I always like having some leftover for another meal. This Hardee's always has nice staff well whenever I have been there.
<Date> 2014-01-01
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 2627
<Author> W C.
<Author Location> Chapel Hill, NC
<Title> title
<Content> Dear Franchisee,Just thought I would let you know that I almost choked to death driving home today when I took a bite of my Bacon Cheddar Melt. Two dry patties with dry bacon and dry cheese on dry buns ain't gonna go down anyone's throat prettily. Where the hell was the mayo or ketchup or water-laden lettuce and tomato? As is, that there burger is lethal, my friend. Stick with your fabulous (and moist) thickburgers. Please.
<Date> 2008-03-10
<Overall> 4.0
<environment> 4
<taste> 4
<price> 4

<Review ID> 2628
<Author> Carmen M.
<Author Location> Pasadena, CA
<Title> title
<Content> This is a pretty bad place. There were flies, HUGE houseflies flying around! And yikes! The lemon slices were half dried too.The cashier wasn't really efficient. She was yelling my order to the cooks in the back, so it was really loud. I wasn't impressed with the speed of service, and the lady couldn't find our table, despite the number being displayed. Just have people pick up at the counter please.The food was pretty salty, and I didn't get any lettuce and tomato on my burger... Just meh overall.
<Date> 2011-08-20
<Overall> 2.0
<environment> 2
<taste> 2
<price> 2

